task_id,workload,crp_id,node_id,crp_type,fraction,price,payment,cost,crp_profit
task_20,0.833065,crp_3,node_3,price_setting,0.070561,14371.235843,49.657507,44.941711,4.715796
task_20,0.833065,crp_5,node_5,price_setting,0.070025,14713.41714,50.070048,45.183315,4.886733
task_20,0.833065,crp_8,node_8,price_setting,0.067564,15229.911731,48.248594,43.35072,4.897874
task_20,0.833065,crp_11,node_11,price_setting,0.064589,15750.32641,45.599539,40.793584,4.805955
task_20,0.833065,crp_16,node_16,price_setting,0.061373,16626.491277,43.461697,38.60292,4.858777
task_20,0.833065,crp_18,node_18,price_setting,0.060385,16980.026305,42.969044,38.056417,4.912628
task_20,0.833065,crp_19,node_19,price_setting,0.060257,17157.461561,43.23458,38.236999,4.997581
task_20,0.833065,crp_20,node_20,price_setting,0.059789,17335.320087,43.005873,37.980608,5.025265
task_20,0.833065,crp_23,node_23,price_setting,0.057846,17871.516112,41.501988,36.496653,5.005335
task_20,0.833065,crp_25,node_25,price_setting,0.056803,18231.172147,40.823967,35.798947,5.025019
task_20,0.833065,crp_29,node_29,price_setting,0.05434,18955.719367,38.845724,33.872745,4.972979
task_21,0.358555,crp_3,node_3,price_setting,0.07368,14370.275107,10.029456,9.077601,0.951855
task_21,0.358555,crp_5,node_5,price_setting,0.073486,14712.47977,10.214241,9.217939,0.996302
task_21,0.358555,crp_8,node_8,price_setting,0.070878,15229.047986,9.835643,8.837695,0.997947
task_21,0.358555,crp_11,node_11,price_setting,0.067516,15749.543872,9.229734,8.257378,0.972356
task_21,0.358555,crp_16,node_16,price_setting,0.064219,16625.797152,8.815099,7.829947,0.985152
task_21,0.358555,crp_18,node_18,price_setting,0.063284,16979.359437,8.742187,7.743002,0.999185
task_21,0.358555,crp_19,node_19,price_setting,0.063315,17156.800627,8.842293,7.820494,1.021799
task_21,0.358555,crp_20,node_20,price_setting,0.062873,17334.671871,8.809487,7.780383,1.029104
task_21,0.358555,crp_23,node_23,price_setting,0.060783,17870.915286,8.488255,7.464783,1.023473
task_21,0.358555,crp_25,node_25,price_setting,0.05972,18230.596881,8.358834,7.330177,1.028657
task_21,0.358555,crp_29,node_29,price_setting,0.057035,18955.199557,7.927187,6.912549,1.014639
task_22,0.927518,crp_3,node_3,price_setting,0.072787,14371.620118,65.503263,59.281067,6.222197
task_22,0.927518,crp_5,node_5,price_setting,0.072824,14713.81863,67.129771,60.576391,6.55338
task_22,0.927518,crp_8,node_8,price_setting,0.070175,15230.277894,64.523222,57.971862,6.551359
task_22,0.927518,crp_11,node_11,price_setting,0.066639,15750.640054,60.172504,53.829563,6.342941
task_22,0.927518,crp_16,node_16,price_setting,0.063389,16626.772123,57.475311,51.049028,6.426283
task_22,0.927518,crp_18,node_18,price_setting,0.062522,16980.301787,57.102082,50.572811,6.529271
task_22,0.927518,crp_19,node_19,price_setting,0.062663,17157.744713,57.959971,51.259404,6.700567
task_22,0.927518,crp_20,node_20,price_setting,0.062254,17335.600691,57.799668,51.044911,6.754757
task_22,0.927518,crp_23,node_23,price_setting,0.060139,17871.772954,55.606861,48.899709,6.707152
task_22,0.927518,crp_25,node_25,price_setting,0.059104,18231.419756,54.789699,48.044986,6.744713
task_22,0.927518,crp_29,node_29,price_setting,0.056373,18955.937655,51.823616,45.188704,6.634912
task_23,0.979182,crp_3,node_3,price_setting,0.074794,14371.900976,77.085511,69.761746,7.323765
task_23,0.979182,crp_5,node_5,price_setting,0.074733,14714.092972,78.792199,71.098978,7.693222
task_23,0.979182,crp_8,node_8,price_setting,0.072029,15230.530648,75.762332,68.068681,7.693651
task_23,0.979182,crp_11,node_11,price_setting,0.068472,15750.868824,70.804495,63.339887,7.464607
task_23,0.979182,crp_16,node_16,price_setting,0.065121,16626.975062,67.605458,60.045796,7.559662
task_23,0.979182,crp_18,node_18,price_setting,0.064204,16980.496816,67.112951,59.438316,7.674635
task_23,0.979182,crp_19,node_19,price_setting,0.064304,17157.938118,68.025174,60.160322,7.864851
task_23,0.979182,crp_20,node_20,price_setting,0.063872,17335.790401,67.809167,59.883996,7.925172
task_23,0.979182,crp_23,node_23,price_setting,0.061716,17871.948743,65.268042,57.395019,7.873023
task_23,0.979182,crp_25,node_25,price_setting,0.060646,18231.588073,64.291189,56.376304,7.914884
task_23,0.979182,crp_29,node_29,price_setting,0.057871,18956.089659,60.868302,53.074984,7.793318
task_24,0.423172,crp_3,node_3,price_setting,0.071194,14370.348092,13.043263,11.80532,1.237943
task_24,0.423172,crp_5,node_5,price_setting,0.0705,14712.547404,13.094683,11.817368,1.277315
